DISTRICT,PROVINCE,ZONE,RIVER_BASIN,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,PEAK_24H_RAIN,NBRO_LANDSLIDE_ALERT,FLOOD_OCCURRENCE,HAZARD_INDEX
Colombo,Wet,Wet,Kelani Ganga,1995,17.2,31.4,116.9,241.9,237.1,213.7,166.3,139.0,93.3,305.0,332.0,20.0,1913.7,100.8,0,Minor Flood,1
Gampaha,Wet,Wet,Kelani Ganga,1995,26.8,5.0,149.0,185.9,250.5,146.2,149.5,163.9,145.4,262.5,230.9,62.4,1778.0,104.0,0,Minor Flood,1
Kalutara,Wet,Wet,Kalu Ganga,1995,33.0,29.3,113.5,240.2,377.2,364.4,219.0,296.6,460.9,367.6,347.2,135.1,2983.8,201.3,3,Major Flood,2
Ratnapura,Wet,Wet,Kalu Ganga,1995,69.1,34.0,92.1,224.7,380.3,412.8,303.4,193.4,352.1,288.8,306.9,142.6,2800.2,116.0,2,Minor Flood,1
Kegalle,Wet,Wet,Kelani Ganga,1995,77.5,52.7,152.8,264.2,353.0,291.3,190.1,280.4,292.1,263.3,400.6,53.1,2671.1,155.6,3,Major Flood,2
Galle,Wet,Wet,Gin Ganga,1995,61.2,55.1,129.8,195.2,370.1,384.3,244.3,288.0,156.0,321.3,311.6,83.0,2599.9,128.2,2,Minor Flood,1
Matara,Wet,Wet,Nilwala Ganga,1995,81.1,32.9,95.9,148.2,275.6,322.1,218.4,191.9,291.0,325.4,304.7,106.7,2393.9,101.4,2,Minor Flood,1
Kandy,Wet,Wet,Mahaweli Ganga,1995,83.4,64.4,80.4,175.4,180.4,106.8,157.3,142.4,168.2,217.9,169.0,104.9,1650.5,65.4,0,No Flood,0
Nuwara Eliya,Wet,Wet,Mahaweli Ganga,1995,87.8,39.2,104.4,101.1,181.4,280.2,167.1,87.0,142.3,164.4,258.6,97.3,1710.9,102.4,2,Minor Flood,1
Badulla,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1995,116.7,73.5,82.9,109.2,162.1,120.1,101.6,24.1,147.1,107.9,254.1,298.5,1597.8,88.2,1,Minor Flood,1
Matale,Intermediate/Wet,Intermediate/Wet,Mahaweli Ganga,1995,104.6,83.5,131.7,184.4,111.0,79.2,107.2,22.6,117.8,129.1,247.3,173.9,1492.3,75.0,1,No Flood,1
Kurunegala,Intermediate,Intermediate,Deduru Oya,1995,52.4,33.6,115.4,119.7,149.6,185.3,23.6,95.4,125.0,254.9,153.6,46.0,1354.4,102.8,0,Minor Flood,1
Anuradhapura,Dry,Dry,Malwathu Oya,1995,123.4,84.3,69.8,150.9,61.5,10.0,83.2,86.0,78.7,86.7,113.1,111.4,1059.1,61.4,0,No Flood,0
Polonnaruwa,Dry,Dry,Mahaweli Ganga,1995,150.1,78.2,94.6,205.8,44.8,14.8,10.0,10.0,45.1,180.4,198.0,237.3,1269.2,98.5,0,Minor Flood,1
Hambantota,Dry,Dry,Walawe Ganga,1995,144.8,44.4,20.8,115.6,18.7,116.3,55.9,44.0,56.8,188.4,132.6,157.8,1096.1,65.1,0,No Flood,0
Monaragala,Dry/Intermediate,Dry/Intermediate,Menik Ganga,1995,96.8,77.1,79.9,86.6,86.9,86.8,14.2,55.6,65.9,99.4,212.2,196.0,1157.5,84.6,0,No Flood,0
Ampara,Dry,Dry,Gal Oya,1995,124.5,110.1,97.1,105.8,69.3,57.9,37.1,67.9,113.9,160.4,266.5,280.4,1490.7,116.4,0,Minor Flood,1
Batticaloa,Dry,Dry,Mundeni Aru,1995,167.6,112.7,50.3,127.0,15.0,41.6,134.2,10.0,69.3,71.2,158.3,327.4,1284.5,98.7,0,Minor Flood,1
Trincomalee,Dry,Dry,Mahaweli Ganga,1995,196.5,90.1,86.5,79.1,194.3,137.2,97.3,66.1,42.7,186.5,248.1,213.5,1638.0,80.9,0,No Flood,0
Jaffna,Dry,Dry,Peninsula / Coastal,1995,124.2,77.7,74.6,145.1,15.0,13.3,10.0,10.0,116.3,160.3,71.0,269.9,1087.3,119.4,0,Minor Flood,1
Kilinochchi,Dry,Dry,Kanakarayan Aru,1995,148.9,110.5,23.2,190.7,15.0,10.0,16.3,99.6,30.5,88.0,77.8,211.7,1022.3,74.9,0,No Flood,0
Mannar,Dry,Dry,Aruvi Aru,1995,157.8,36.4,42.8,109.2,120.5,10.0,76.3,22.4,15.0,155.7,156.9,152.0,1055.0,44.9,0,No Flood,0
